USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,ENDED,COMMAND
root,1,0.0,0.3,177404,12568,?,Ss,nov13,0:05,,/sbin/init splash
root,2,0.0,0.0,0,0,?,S,nov13,0:00,,[kthreadd]
root,3,0.0,0.0,0,0,?,I<,nov13,0:00,,[rcu_gp]
root,4,0.0,0.0,0,0,?,I<,nov13,0:00,,[rcu_par_gp]
root,6,0.0,0.0,0,0,?,I<,nov13,0:00,,[kworker/0:0H-events_highpri]
root,8,0.0,0.0,0,0,?,I<,nov13,0:25,,[kworker/0:1H-events_highpri]
root,9,0.0,0.0,0,0,?,I<,nov13,0:00,,[mm_percpu_wq]
root,10,0.0,0.0,0,0,?,S,nov13,0:16,,[ksoftirqd/0]
root,11,0.0,0.0,0,0,?,I,nov13,0:13,,[rcu_sched]
root,12,0.0,0.0,0,0,?,S,nov13,0:03,,[migration/0]
root,13,0.0,0.0,0,0,?,S,nov13,0:00,,[idle_inject/0]
root,15,0.0,0.0,0,0,?,S,nov13,0:00,,[cpuhp/0]
root,16,0.0,0.0,0,0,?,S,nov13,0:00,,[kdevtmpfs]
root,17,0.0,0.0,0,0,?,I<,nov13,0:00,,[netns]
root,18,0.0,0.0,0,0,?,S,nov13,0:00,,[rcu_tasks_kthre]
root,19,0.0,0.0,0,0,?,S,nov13,0:00,,[kauditd]
root,20,0.0,0.0,0,0,?,S,nov13,0:00,,[khungtaskd]
root,21,0.0,0.0,0,0,?,S,nov13,0:00,,[oom_reaper]
root,22,0.0,0.0,0,0,?,I<,nov13,0:00,,[writeback]
root,23,0.0,0.0,0,0,?,S,nov13,0:00,,[kcompactd0]
root,24,0.0,0.0,0,0,?,SN,nov13,0:00,,[ksmd]
root,25,0.0,0.0,0,0,?,SN,nov13,0:00,,[khugepaged]
root,71,0.0,0.0,0,0,?,I<,nov13,0:00,,[kintegrityd]
root,72,0.0,0.0,0,0,?,I<,nov13,0:00,,[kblockd]
root,73,0.0,0.0,0,0,?,I<,nov13,0:00,,[blkcg_punt_bio]
root,74,0.0,0.0,0,0,?,I<,nov13,0:00,,[tpm_dev_wq]
root,75,0.0,0.0,0,0,?,I<,nov13,0:00,,[ata_sff]
root,76,0.0,0.0,0,0,?,I<,nov13,0:00,,[md]
root,77,0.0,0.0,0,0,?,I<,nov13,0:00,,[edac-poller]
root,78,0.0,0.0,0,0,?,I<,nov13,0:00,,[devfreq_wq]
root,79,0.0,0.0,0,0,?,S,nov13,0:00,,[watchdogd]
root,84,0.0,0.0,0,0,?,S,nov13,0:02,,[kswapd0]
root,85,0.0,0.0,0,0,?,S,nov13,0:00,,[ecryptfs-kthrea]
root,87,0.0,0.0,0,0,?,I<,nov13,0:00,,[kthrotld]
root,88,0.0,0.0,0,0,?,I<,nov13,0:00,,[acpi_thermal_pm]
root,89,0.0,0.0,0,0,?,S,nov13,0:00,,[scsi_eh_0]
root,90,0.0,0.0,0,0,?,I<,nov13,0:00,,[scsi_tmf_0]
root,91,0.0,0.0,0,0,?,S,nov13,0:00,,[scsi_eh_1]
root,92,0.0,0.0,0,0,?,I<,nov13,0:00,,[scsi_tmf_1]
root,94,0.0,0.0,0,0,?,I<,nov13,0:00,,[vfio-irqfd-clea]
root,96,0.0,0.0,0,0,?,I<,nov13,0:00,,[ipv6_addrconf]
root,105,0.0,0.0,0,0,?,I<,nov13,0:00,,[kstrp]
root,108,0.0,0.0,0,0,?,I<,nov13,0:00,,[kworker/u3:0]
root,121,0.0,0.0,0,0,?,I<,nov13,0:00,,[charger_manager]
root,163,0.0,0.0,0,0,?,S,nov13,0:00,,[scsi_eh_2]
root,165,0.0,0.0,0,0,?,I<,nov13,0:00,,[scsi_tmf_2]
root,167,0.0,0.0,0,0,?,S,nov13,0:06,,[irq/18-vmwgfx]
root,168,0.0,0.0,0,0,?,I<,nov13,0:00,,[ttm_swap]
root,224,0.0,0.0,0,0,?,S,nov13,0:05,,[jbd2/sda5-8]
root,225,0.0,0.0,0,0,?,I<,nov13,0:00,,[ext4-rsv-conver]
root,271,0.0,0.4,52556,19784,?,S<s,nov13,0:02,,/lib/systemd/systemd-journald
root,312,0.0,0.1,24244,7312,?,Ss,nov13,0:02,,/lib/systemd/systemd-udevd
root,343,0.0,0.0,0,0,?,I<,nov13,0:00,,[iprt-VBoxWQueue]
systemd+,439,0.0,0.3,24668,13168,?,Ss,nov13,0:02,,/lib/systemd/systemd-resolved
root,464,0.0,0.1,238536,7676,?,Ssl,nov13,0:04,,/usr/lib/accountsservice/accounts-daemon
root,465,0.0,0.0,2540,708,?,Ss,nov13,0:00,,/usr/sbin/acpid
avahi,468,0.0,0.0,8520,3256,?,Ss,nov13,0:00,,avahi-daemon: running [test-tesi.local]
root,469,0.0,0.0,9424,3168,?,Ss,nov13,0:00,,/usr/sbin/cron -f
message+,471,0.0,0.1,8828,5828,?,Ss,nov13,0:07,,/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root,472,0.1,0.4,336760,20020,?,Ssl,nov13,1:51,,/usr/sbin/NetworkManager --no-daemon
root,481,0.0,0.4,39696,17996,?,Ss,nov13,0:00,,/usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root,483,0.0,0.2,235576,10040,?,Ssl,nov13,0:00,,/usr/lib/policykit-1/polkitd --no-debug
syslog,485,0.0,0.1,224344,4636,?,Ssl,nov13,0:00,,/usr/sbin/rsyslogd -n -iNONE
root,486,0.0,0.2,17356,8172,?,Ss,nov13,0:00,,/lib/systemd/systemd-logind
root,488,0.0,0.3,393328,12300,?,Ssl,nov13,0:00,,/usr/lib/udisks2/udisksd
root,490,0.0,0.1,13676,4912,?,Ss,nov13,0:01,,/sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi,520,0.0,0.0,8340,328,?,S,nov13,0:00,,avahi-daemon: chroot helper
kernoops,534,0.0,0.0,11256,444,?,Ss,nov13,0:00,,/usr/sbin/kerneloops --test
kernoops,547,0.0,0.0,11256,444,?,Ss,nov13,0:00,,/usr/sbin/kerneloops
root,615,0.0,0.2,315108,11548,?,Ssl,nov13,0:00,,/usr/sbin/ModemManager
root,893,0.0,0.1,305876,6616,?,Ssl,nov13,0:00,,/usr/sbin/lightdm
root,905,0.0,0.0,426524,2780,?,Sl,nov13,0:39,,/usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root,921,0.0,0.0,8436,1764,tty1,Ss+,nov13,0:00,,/sbin/agetty -o -p -- \u --noclear tty1 linux
root,922,0.6,5.4,554588,218096,tty7,Ssl+,nov13,9:16,,/usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root,931,0.0,0.1,162084,7856,?,Sl,nov13,0:00,,lightdm --session-child 12 15
test,936,0.0,0.2,19152,8816,?,Ss,nov13,0:00,,/lib/systemd/systemd --user
test,937,0.0,0.0,105812,2436,?,S,nov13,0:00,,(sd-pam)
test,946,0.0,0.3,884968,14852,?,S<sl,nov13,0:00,,/usr/bin/pulseaudio --daemonize=no --log-target=journal
test,947,0.0,1.4,396336,57488,?,Ssl,nov13,0:08,,mate-session
rtkit,954,0.0,0.0,152928,3092,?,SNsl,nov13,0:03,,/usr/libexec/rtkit-daemon
test,965,0.0,0.1,8048,4816,?,Ss,nov13,0:01,,/usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
test,1090,0.0,0.0,22652,360,?,S,nov13,0:00,,/usr/bin/VBoxClient --clipboard
test,1092,0.0,0.0,154920,3044,?,Sl,nov13,0:00,,/usr/bin/VBoxClient --clipboard
test,1101,0.0,0.0,22652,360,?,S,nov13,0:00,,/usr/bin/VBoxClient --seamless
test,1102,0.0,0.0,154888,1920,?,Sl,nov13,0:00,,/usr/bin/VBoxClient --seamless
test,1109,0.0,0.0,22652,356,?,S,nov13,0:00,,/usr/bin/VBoxClient --draganddrop
test,1110,0.6,0.0,220940,1896,?,Sl,nov13,9:50,,/usr/bin/VBoxClient --draganddrop
test,1114,0.0,0.0,22652,360,?,S,nov13,0:00,,/usr/bin/VBoxClient --vmsvga
test,1115,0.0,0.0,157168,2908,?,Sl,nov13,0:00,,/usr/bin/VBoxClient --vmsvga
test,1123,0.0,0.0,6032,452,?,Ss,nov13,0:01,,/usr/bin/ssh-agent /usr/bin/im-launch mate-session
test,1199,0.0,0.1,305712,6436,?,Ssl,nov13,0:00,,/usr/libexec/at-spi-bus-launcher
test,1204,0.0,0.1,7380,4100,?,S,nov13,0:00,,/usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
test,1214,0.0,0.1,156464,5724,?,Sl,nov13,0:00,,/usr/libexec/dconf-service
test,1218,0.0,0.8,946688,32920,?,Sl,nov13,0:19,,/usr/bin/mate-settings-daemon
test,1220,0.0,0.1,162904,6040,?,Sl,nov13,0:01,,/usr/libexec/at-spi2-registryd --use-gnome-session
test,1226,0.0,0.9,285332,40104,?,Sl,nov13,0:51,,marco
test,1227,0.0,0.1,239912,7804,?,Ssl,nov13,0:00,,/usr/libexec/gvfsd
test,1234,0.0,0.9,467924,38388,?,Sl,nov13,0:08,,mate-panel
test,1236,0.0,0.1,378340,5592,?,Sl,nov13,0:00,,/usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
test,1262,0.0,2.3,794116,94948,?,Sl,nov13,0:29,,/usr/bin/caja
test,1265,0.0,1.6,569552,64896,?,Sl,nov13,1:13,,mintmenu
test,1268,0.0,1.6,444196,65064,?,Sl,nov13,0:18,,/usr/lib/mate-panel/wnck-applet
test,1269,0.0,0.7,392000,31800,?,Sl,nov13,0:07,,/usr/lib/mate-panel/clock-applet
test,1271,0.0,1.2,328636,48336,?,Sl,nov13,0:06,,mate-xapp-status-applet
test,1273,0.0,0.6,342680,26492,?,Sl,nov13,0:05,,/usr/lib/mate-panel/notification-area-applet
test,1274,0.0,0.2,314452,8852,?,Ssl,nov13,0:00,,/usr/libexec/gvfs-udisks2-volume-monitor
test,1279,0.0,0.1,238148,7068,?,Ssl,nov13,0:00,,/usr/libexec/gvfs-gphoto2-volume-monitor
